##Trial No	Trial Type	Risk1	AmbigA	AmbigB	AmbigAL
1	1	10	33	0	1
2	1	10	50	0	0
3	1	10	80	0	1
4	1	10	100	0	0
5	1	25	33	0	0
6	1	25	50	0	0
7	1	25	80	0	1
8	1	25	100	0	1
9	1	33	33	0	1
10	1	33	50	0	1
11	1	33	80	0	0
12	1	33	100	0	0
13	1	40	33	0	1
14	1	40	50	0	1
15	1	40	80	0	0
16	1	40	100	0	0
17	1	45	33	0	0
18	1	45	50	0	1
19	1	45	80	0	1
20	1	45	100	0	0
21	1	50	33	0	0
22	1	50	50	0	1
23	1	50	80	0	0
24	1	50	100	0	1
25	1	55	33	0	0
26	1	55	50	0	0
27	1	55	80	0	1
28	1	55	100	0	1
29	1	60	33	0	1
30	1	60	50	0	0
31	1	60	80	0	1
32	1	60	100	0	0
33	1	67	33	0	0
34	1	67	50	0	0
35	1	67	80	0	1
36	1	67	100	0	1
37	1	75	33	0	1
38	1	75	50	0	0
39	1	75	80	0	1
40	1	75	100	0	0
41	1	90	33	0	0
42	1	90	50	0	1
43	1	90	80	0	0
44	1	90	100	0	1
45	1	0	100	0	0
46	1	100	100	0	1
47	2	0	33	50	0
48	2	0	33	80	1
49	2	0	33	100	1
50	2	0	50	80	0
51	2	0	50	100	1
52	2	0	80	100	0
